state,year,oberate,unerate,pcspend,fastfood,bachelors,pop,income
Alabama,2012,33,8.2,28920,3482,23.3,4816.632,53970
Alaska,2012,25.7,7.2,42455,409,28,730.81,79030
Arizona,2012,26,8.3,32261,4238,27.3,6556.344,58410
Arkansas,2012,34.5,7.3,28227,1978,21,2952.876,48450
California,2012,25,10.5,37112,27758,30.9,37944.551,70800
Colorado,2012,20.5,8.0,36572,3837,37.5,5193.66,71090
Connecticut,2012,25.6,8.4,42958,2348,37.1,3595.211,79770
Delaware,2012,26.9,7.1,39308,642,29.5,915.518,60810
District of Columbia,2012,21.9,9.0,59099,812,53,635.737,81010
Florida,2012,25.2,8.6,36295,11899,26.8,19302.016,57210
Georgia,2012,29.1,9.0,30881,7372,28.2,9903.58,59750
Hawaii,2012,23.6,5.9,36670,1294,30.1,1395.199,69860
Idaho,2012,26.8,7.4,28109,1040,25.5,1595.91,59500
Illinois,2012,28.1,9.0,36008,9591,31.6,12883.029,64240
Indiana,2012,31.4,8.2,31369,4668,23.4,6538.989,57310
Iowa,2012,30.4,5.1,32499,1937,26.3,3076.844,66360
Kansas,2012,29.8,5.7,32799,2023,30.4,2886.024,62090
Kentucky,2012,31.3,8.2,29859,3087,21.8,4387.865,51020
Louisiana,2012,34.7,6.7,31288,3113,22,4602.067,48530
Maine,2012,28.3,7.2,37030,922,28,1328.094,61040
Maryland,2012,27.6,6.9,39069,4952,36.9,5888.375,89200
Massachusetts,2012,22.9,6.7,44088,4946,39.3,6664.269,79040
Michigan,2012,31.1,9.0,33397,6583,26,9898.289,62100
Minnesota,2012,25.7,5.6,38170,3393,33.2,5377.5,76730
Mississippi,2012,34.6,8.8,27446,1996,20.7,2984.599,45500
Missouri,2012,29.6,7.2,34100,4121,26.4,6026.027,61790
Montana,2012,24.3,5.8,35272,732,29.4,1004.168,55980
Nebraska,2012,28.6,3.9,34613,1297,29,1853.691,64810
Nevada,2012,26.2,11.6,33398,2170,22.4,2744.67,58770
New Hampshire,2012,27.3,5.4,42586,1055,34.6,1324.677,84210
New Jersey,2012,24.6,9.4,41742,6641,36.2,8845.671,82810
New Mexico,2012,27.1,7.0,29950,1428,26.1,2087.715,53920
New York,2012,23.6,8.6,38847,16239,33.4,19574.362,59200
North Carolina,2012,29.6,9.5,31226,7125,27.4,9751.81,51600
North Dakota,2012,29.7,2.9,40360,433,27.9,702.227,69240
Ohio,2012,30.1,7.4,32988,8931,25.2,11550.971,55100
Oklahoma,2012,32.2,5.1,29898,2673,23.8,3819.32,60110
Oregon,2012,27.3,8.8,33247,2782,29.9,3900.102,64290
Pennsylvania,2012,29.1,7.7,37515,8734,27.8,12769.123,64450
Rhode Island,2012,25.7,10.2,35785,806,31.4,1054.893,69610
South Carolina,2012,31.6,9.0,31114,3432,25.1,4719.027,55130
South Dakota,2012,28.1,4.1,33929,516,26.3,833.859,61360
Tennessee,2012,31.1,8.0,31037,4579,24.3,6455.752,53390
Texas,2012,29.2,6.7,32894,18265,26.7,26084.12,64480
Utah,2012,24.3,4.8,28727,2105,30.7,2854.146,72440
Vermont,2012,23.7,4.8,40771,385,35.8,626.361,69010
Virginia,2012,27.4,5.9,37422,6124,35.5,8187.456,80250
Washington,2012,26.8,7.7,37192,4839,31.7,6898.599,77220
West Virginia,2012,33.8,7.2,30767,1274,18.6,1857.446,54080
Wisconsin,2012,29.7,6.9,34032,3472,27.1,5720.825,65910
Wyoming,2012,24.6,5.5,36878,399,24.7,576.656,71410
Alabama,2013,32.4,7.3,29594,3528,23.5,4831.586,58050
Alaska,2013,28.4,7.0,42914,418,28,737.626,88910
Arizona,2013,26.8,7.8,33037,4253,27.4,6634.69,64540
Arkansas,2013,34.6,7.1,28820,1919,20.6,2960.459,48310
California,2013,24.1,9.0,37970,27912,31,38253.768,74580
Colorado,2013,21.3,6.7,37798,3851,37.8,5270.774,83310
Connecticut,2013,25,8.0,43904,2375,37.2,3595.792,85010
Delaware,2013,31.1,6.6,39938,633,29.8,924.062,66360
District of Columbia,2013,22.9,8.4,60427,820,55.1,651.559,73680
Florida,2013,26.4,7.5,37064,12012,27.2,19551.678,59540
Georgia,2013,30.3,8.1,31764,7575,28.3,9975.592,57650
Hawaii,2013,21.8,4.8,37772,1250,31.2,1408.822,78800
Idaho,2013,29.6,6.8,29207,1033,26.2,1612.053,59460
Illinois,2013,29.4,9.1,36749,9696,32.1,12895.778,66170
Indiana,2013,31.8,7.5,31915,4733,23.8,6570.575,60670
Iowa,2013,31.3,4.7,33094,1945,26.4,3093.935,73800
Kansas,2013,30,5.3,33224,2062,31.1,2894.306,58670
Kentucky,2013,33.2,7.9,30453,3155,22.6,4406.906,55060
Louisiana,2013,33.1,6.4,32050,3244,22.5,4626.04,56950
Maine,2013,28.9,6.7,37869,967,28.2,1328.543,67420
Maryland,2013,28.3,6.5,39616,5002,37.4,5925.197,85080
Massachusetts,2013,23.6,6.6,44949,5057,40.3,6715.158,76710
Michigan,2013,31.5,8.7,34338,6576,26.9,9914.802,69400
Minnesota,2013,25.5,5.0,39029,3447,33.5,5414.722,78910
Mississippi,2013,35.1,8.5,28018,2055,20.4,2989.839,39670
Missouri,2013,30.4,6.8,34668,4105,27,6042.989,56800
Montana,2013,24.6,5.4,36104,719,29,1014.158,53000
Nebraska,2013,29.6,3.7,35118,1327,29.4,1865.813,70690
Nevada,2013,26.2,10.0,34264,2229,22.5,2776.956,63600
New Hampshire,2013,26.7,5.3,43632,1025,34.6,1327.272,84770
New Jersey,2013,26.3,8.4,42463,6738,36.6,8857.821,78210
New Mexico,2013,26.4,6.9,30456,1444,26.4,2092.833,49280
New York,2013,25.4,7.8,39977,16461,34.1,19626.488,61300
North Carolina,2013,29.4,7.8,31996,7282,28.4,9846.717,56850
North Dakota,2013,31,2.9,41855,440,27.1,723.149,72570
Ohio,2013,30.4,7.5,33966,9058,26.1,11579.692,62260
Oklahoma,2013,32.5,5.1,30561,2716,23.8,3853.891,56630
Oregon,2013,26.5,7.8,34050,2796,30.7,3924.11,60110
Pennsylvania,2013,30,7.1,38298,8898,28.7,12779.538,67670
Rhode Island,2013,27.3,9.5,36792,834,32.4,1055.56,69100
South Carolina,2013,31.7,7.4,31960,3364,26.1,4766.469,53440
South Dakota,2013,29.9,3.7,34566,521,26.6,842.751,65530
Tennessee,2013,33.7,7.8,31462,4602,24.8,6496.943,53200
Texas,2013,30.9,6.3,33814,18628,27.5,26479.646,63070
Utah,2013,24.1,4.2,29418,2112,31.3,2898.773,74890
Vermont,2013,24.7,4.4,41462,405,35.7,626.603,80370
Virginia,2013,27.2,5.6,37935,6218,36.1,8255.861,80850
Washington,2013,27.2,6.6,38217,4846,32.7,6966.252,78420
West Virginia,2013,35.1,6.7,31406,1260,18.9,1854.768,52840
Wisconsin,2013,29.8,6.7,34729,3531,27.7,5738.012,63460
Wyoming,2013,27.8,4.8,37723,409,26.6,582.62,82740
Alabama,2014,33.5,6.7,30365,3561,23.5,4843.737,51140
Alaska,2014,29.7,6.7,44251,429,28,737.075,81800
Arizona,2014,28.9,6.8,34068,4211,27.6,6732.873,59580
Arkansas,2014,35.9,5.9,29915,1939,21.4,2968.759,54340
California,2014,24.7,7.6,39399,28292,31.7,38586.706,73170
Colorado,2014,21.3,5.0,39447,3877,38.3,5352.637,73710
Connecticut,2014,26.3,6.6,45491,2429,38,3595.697,84870
Delaware,2014,30.7,5.6,41310,615,30.6,933.131,69580
District of Columbia,2014,21.7,7.7,62088,839,55,663.603,82590
Florida,2014,26.2,6.4,38593,12156,27.3,19853.88,55810
Georgia,2014,30.5,7.1,33086,7702,29.1,10071.204,59940
Hawaii,2014,22.1,4.2,38715,1249,31,1415.335,86150
Idaho,2014,28.9,4.4,30167,1041,25,1632.248,64640
Illinois,2014,29.3,7.2,38009,9643,32.8,12885.092,66430
Indiana,2014,32.7,5.9,32872,4753,24.7,6596.019,58130
Iowa,2014,30.9,4.2,34155,1918,27.7,3110.643,69930
Kansas,2014,31.3,4.5,34094,2001,31.5,2901.861,64650
Kentucky,2014,31.6,6.4,31279,3133,22.2,4416.992,51750
Louisiana,2014,34.9,6.3,32991,3268,22.9,4645.938,51290
Maine,2014,28.2,5.6,38457,931,29.4,1331.217,62550
Maryland,2014,29.6,5.7,40557,4896,38.2,5960.064,92130
Massachusetts,2014,23.3,5.7,46336,5080,41.2,6764.864,76390
Michigan,2014,30.7,7.2,35628,6656,27.4,9932.033,62910
Minnesota,2014,27.6,4.3,40107,3419,34.3,5452.665,81340
Mississippi,2014,35.5,7.6,28763,2112,21.1,2991.892,42970
Missouri,2014,30.2,6.2,35565,4041,27.5,6059.13,68500
Montana,2014,26.4,4.7,37529,703,29.3,1022.657,61810
Nebraska,2014,30.2,3.3,36174,1346,29.5,1879.955,68790
Nevada,2014,27.7,8.2,35371,2250,23.1,2818.935,60330
New Hampshire,2014,27.4,4.3,44330,1017,35,1334.257,88780
New Jersey,2014,26.9,6.7,43685,6655,37.4,8867.277,78920
New Mexico,2014,28.4,6.6,31620,1449,26.4,2090.236,56470
New York,2014,27,6.3,41736,16721,34.5,19653.431,65690
North Carolina,2014,29.7,6.1,33144,7355,28.7,9937.295,56590
North Dakota,2014,32.2,2.6,43307,456,27.4,738.736,73460
Ohio,2014,32.6,5.8,34939,9094,26.6,11606.573,60050
Oklahoma,2014,33,4.3,31579,2764,24.2,3879.187,57090
Oregon,2014,27.9,6.7,35437,2767,30.8,3965.447,71220
Pennsylvania,2014,30.2,5.9,39200,8910,29,12792.392,66740
Rhode Island,2014,27,7.8,38081,821,30.4,1056.511,70920
South Carolina,2014,32.1,6.3,33050,3411,26.3,4826.858,54350
South Dakota,2014,29.8,3.3,35484,521,27.8,849.67,64170
Tennessee,2014,31.2,6.6,32483,4645,25.3,6544.617,52880
Texas,2014,31.9,5.2,35204,18804,27.8,26963.092,65170
Utah,2014,25.7,3.6,30720,2138,31.1,2938.327,76670
Vermont,2014,24.8,4.0,42775,397,34.9,625.693,73430
Virginia,2014,28.5,5.1,38807,6248,36.7,8315.43,80020
